Ser No.,C,Al,Cu,Fe,Mn,Ni,Ti,V,Cr,Mo,Nb,Zr,Liquidus,Term. Temp,Solidifcation Range,Tot Vol Frac BCC,Tot Vol Frac FCC,Tot Vol Frac BCC+FCC,Tot Vol Frac Other,Acceptable
1,0,0.0001,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,0,1616.61,827.4,789.21,0.54173865,0.161854049,0.703592699,0.296407301,0
2,0,1.25,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,0,1613.62,827.38,786.24,0.598616622,0.140155262,0.738771883,0.261228117,0
3,0,2.5,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,0,1610.22,828.66,781.56,0.684441155,0.152522539,0.836963694,0.163036306,0
4,0,3.75,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,0,1606.43,816.06,790.37,0.713814204,0.133391559,0.847205763,0.152794237,0
5,0,5,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,0,1602.27,793.04,809.23,0.72718016,0.116059049,0.843239209,0.156760791,0
6,0,6.25,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,0,1598.64,711.496,887.144,0.517630109,0.149618848,0.667248957,0.332751043,0
7,0,7.5,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,0,1592.77,766.64,826.13,0.774658544,0.093382402,0.868040946,0.131959054,0
8,0,8.75,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,0,1587.85,738.88,848.97,0.663979663,0.108277398,0.772257061,0.227742939,0
9,0,10,10,10,10,10,10,10,10,10,10,0,1582.48,746.15,836.33,0.749087365,0.084117538,0.833204903,0.166795097,0
10,0,11.25,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,0,1577.66,703.997,873.663,0.723413396,0.077509386,0.800922781,0.199077219,0
11,0,12.5,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,0,1570.96,712.465,858.495,0.76880259,0.064986876,0.833789466,0.166210534,0
12,0,13.75,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,0,1564.83,746.13,818.7,0.852300762,0.044632294,0.896933056,0.103066944,0
13,0,15,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,0,1558.46,745.02,813.44,0.868093464,0.035796955,0.903890418,0.096109582,0
